Port,Ship,State
THPNA/AYI04 (บริษัท เวทย์วิชัยเจริญขนส่ง จำกัด ),RATTANATHANAKIJ 168,Arrival
THPNA/AYI04 (บริษัท เวทย์วิชัยเจริญขนส่ง จำกัด ),RATTANATHANAKIJ 168,Depature
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 4,Arrival
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 5,Arrival
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 4,Depature
THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 5,Depature
THBKK/B20AB (ท่าเรือกรุงเทพ (ท่า 20 AB) ),CAPE FAWLEY,Arrival
THBKK/B20AB (ท่าเรือกรุงเทพ (ท่า 20 AB) ),CAPE FAWLEY,Depature
THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),UNIQUE 12,Arrival
THBPK/BGP05 (ท่าเทียบเรือ บริษัท ยูนิคแก๊ส แอนด์ ปิโตร เคมีคัลส์ จำกัด (มหาชน) ),UNIQUE 12,Depature
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),Pilatus 54,Arrival
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),PILATUS 40,Arrival
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),PILATUS 40,Depature
THBPK/BGP06 (ท่าเทียบเรือ บริษัท เวิลด์ แอล.พี.จี. กรุ๊ป จำกัด ),Pilatus 54,Depature
THBPK/BGP11 (ท่าเทียบเรือบริษัท ปฐวีเทอร์มินอล จำกัด ),NP BANGPAKONG,Arrival
THBPK/BGP11 (ท่าเทียบเรือบริษัท ปฐวีเทอร์มินอล จำกัด ),NP BANGPAKONG,Depature
THBPK/BGP18 (ท่าเทียบเรือ บริษัท ไทยวา จำกัด (มหาชน) ท่าหมายเลข2 ),,Arrival
THBKK/BK18A (- ),BKK 1,Arrival
THBKK/BK18A (- ),BKK 1,Depature
THBKK/BK18D (- ),V.L. 19,Arrival
THBKK/BK18D (- ),V.L. 19,Depature
THBKK/BK18G (- ),SIRITHANA,Arrival
THBKK/BK18G (- ),SIRITHANA,Depature
THBKK/BK20C (ท่าหมายเลข 20 C ),XIN MING ZHOU 98,Arrival
THBKK/BK20C (ท่าหมายเลข 20 C ),KOTA HANDAL,Depature
THBKK/BK20C (ท่าหมายเลข 20 C ),INTERASIA FORWARD,Arrival
THBKK/BK20C (ท่าหมายเลข 20 C ),INTERASIA FORWARD,Depature
THBKK/BK20C (ท่าหมายเลข 20 C ),INTERASIA FORWARD,Depature
THBKK/BK20G (ท่าหมายเลข 20 G ),NP CHUMPHON,Arrival
THBKK/BK20G (ท่าหมายเลข 20 G ),NP CHUMPHON,Depature
THBKK/BK21B (- ),QUANG MINH 29,Arrival
THBKK/BK21B (- ),QUANG MINH 29,Arrival
THBKK/BK22D (ท่าหมายเลข 22 D ),PRECIOUS CORAL,Arrival
THBKK/BK22D (ท่าหมายเลข 22 D ),PRECIOUS CORAL,Depature
THBKK/BK24B (- ),BETTA SIERRA,Arrival
THBKK/BK24B (- ),BETTA SIERRA,Depature
THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),NP LOVEGISTICS 3,Arrival
THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),NP LOVEGISTICS 2,Arrival
THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),PATHARA MARINE 8,Depature
THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),NP LOVEGISTICS 3,Depature
THBKK/BKK06 (บริษัท สหไทย เทอร์มินอล จำกัด ),NP LOVEGISTICS 2,Depature
THBKK/BKK10 (- ),KMTC POHANG,Arrival
THBKK/BKK10 (- ),KMTC POHANG,Depature
THBKK/BKK11 (- ),DING HENG 10,Arrival
THBKK/BKK11 (- ),DING HENG 10,Arrival
THBKK/BKK11 (- ),DING HENG 10,Arrival
THBKK/BKK11 (- ),DING HENG 10,Depature
THBKK/BKK13 (บ.น้ำมันไออาร์พีซี จำกัด (ท่า ๑๓) ),BIG SEA 14,Arrival
THBKK/BKK13 (บ.น้ำมันไออาร์พีซี จำกัด (ท่า ๑๓) ),BIG SEA 14,Depature
THBKK/BKK23 (- ),SEA FUTURE,Arrival
THBKK/BKK23 (- ),SEA FUTURE,Arrival
THBKK/BKK23 (- ),SEA FUTURE,Arrival
THBKK/BKK23 (- ),SEA FUTURE,Depature
THBKK/BKK2F (- ),DONGJIN CONFIDENT,Arrival
THBKK/BKK2F (- ),DONGJIN CONFIDENT,Depature
THBKK/BKK2F (- ),SAWASDEE SIRIUS,Depature
THBKK/BKK30 (- ),TRANS NOPPAKAO,Arrival
THBKK/BKK30 (- ),TRANS NOPPAKAO,Depature
THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 59,Arrival
THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 59,Depature
THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 56,Arrival
THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 56,Depature
THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 33,Depature
THBKK/BKSLW (ปตท. สลิปเวย์ 1 ),PILATUS 55,Depature
THCHA/CHA03 (จุดทิ้งสมอ (ปากน้ำแหลมสิงห์) ),LUCKY STAR 33,Arrival
THCHL/CL001 (ท่าเทียบเรืออ่าวฉลอง ),NANDJI,Arrival
THCHU/CPM08 (ท่าเทียบเรือพรทวีสิน1 ),PORNTHAWEESIN 2,Arrival
THCHU/CPM08 (ท่าเทียบเรือพรทวีสิน1 ),PORNTHAWEESIN 2,Depature
THCHU/CPM15 (หลักเทียบเรือ ไออาร์พีซี ),BIG SEA 9,Arrival
THCHU/CPM15 (หลักเทียบเรือ ไออาร์พีซี ),BIG SEA 9,Depature
THMAT/GT007 (BUALUANG FIELD ),GLENDA MERYL ,Arrival
THMAT/GT007 (BUALUANG FIELD ),GLENDA MERYL ,Depature
THSGK/GT010 (JDA ),EKSPRES 93,Arrival
THSGK/GT010 (JDA ),EKSPRES 93,Depature
THPKT/HKT06 (ท่าเทียบเรืออ่าวปอ ),FAIRLINE F33 26,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),THAILAEMTHONG 3,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),PATARAVARIN 4,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),BIG SEA 21,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),V.L. 14,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),SUCHANYAPORN,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),P.S.N. 2,Arrival
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),BIG SEA 21,Depature
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),P.S.N. 2,Depature
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),THAILAEMTHONG 3,Depature
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),V.L. 14,Depature
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),SUCHANYAPORN,Depature
THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),PATARAVARIN 4,Depature
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),SRIBANDON,Arrival
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),BIG SEA 14,Arrival
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),SMOOTH SEA,Depature
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),SRIBANDON,Depature
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),ARISTA 2,Arrival
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),BIG SEA 14,Depature
THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),ARISTA 2,Depature
THRYG/IRPC5 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 5 ),TASCO BRAVO,Arrival
THRYG/IRPC5 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 5 ),THINMANEE,Arrival
THRYG/IRPC5 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 5 ),THINMANEE,Depature
THRYG/IRPC5 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 5 ),TASCO BRAVO,Depature
THKBV/KBV08 (กระบี่โบ๊ทลากูน ),BALOO 1,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),RUNGREANG-KAONA,Arrival
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Depature
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),RUNGREANG-KAONA,Depature
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Depature
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Depature
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Depature
THKBV/KBV12 (ท่าเทียบเรือท่องเที่ยวเกาะพีพี ),,Depature
THKBV/KBV14 (กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช ),AO NANG PRINCRESS 3,Arrival
THKBV/KBV14 (กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช ),AO NANG PRINCRESS 3,Depature
THKSI/KOHAA (KOHSICHANG AREA A ),LAN HAI SHENG HUI,Arrival
THKSI/KOHAA (KOHSICHANG AREA A ),NIKITIS,Arrival
THKSI/KOHAA (KOHSICHANG AREA A ),LAN HAI SHENG HUI,Depature
THKSI/KOHAD (KOHSICHANG AREA D ),GLAD YOUNG,Arrival
THKSI/KOHAD (KOHSICHANG AREA D ),GLAD YOUNG,Depature
THKSI/KOHAE (KOHSICHANG AREA E (เขตจอดเรืออ่าวอุดมด้านเหนือ) ),WATTANA NAVEE 2,Arrival
THKSI/KOHAE (KOHSICHANG AREA E (เขตจอดเรืออ่าวอุดมด้านเหนือ) ),WATTANA NAVEE 2,Depature
THKSI/KOHAE (KOHSICHANG AREA E (เขตจอดเรืออ่าวอุดมด้านเหนือ) ),DRAGON NINE,Arrival
THKSI/KOHAE (KOHSICHANG AREA E (เขตจอดเรืออ่าวอุดมด้านเหนือ) ),DRAGON NINE,Depature
THSRI/KSP01 (KERRY SIAM SEAPORT NO. 1 ),JARUCHA 6,Arrival
THSRI/KSP01 (KERRY SIAM SEAPORT NO. 1 ),JARUCHA 6,Depature
THSRI/KSP06 (KERRY SIAM SEAPORT NO. 6 ),IVONE,Arrival
THSRI/KSP07 (KERRY SIAM SEAPORT NO. 7 ),TROPICAL VENUS,Arrival
THSRI/KSP07 (KERRY SIAM SEAPORT NO. 7 ),TROPICAL VENUS,Depature
THSRI/KSP08 (KERRY SIAM SEAPORT NO. 8 ),EVER CROWN,Arrival
THSRI/KSP08 (KERRY SIAM SEAPORT NO. 8 ),NP LOVEGISTICS 1,Arrival
THSRI/KSP08 (KERRY SIAM SEAPORT NO. 8 ),EVER CROWN,Depature
THSRI/KSP10 (KERRY SIAM SEAPORT NO. 10 ),EVER CONFORM,Depature
THSRI/KSP11 (KERRY SIAM SEAPORT NO. 11 ),LUANA SKY,Arrival
THSRI/KSP11 (KERRY SIAM SEAPORT NO. 11 ),LUANA SKY,Depature
THPHN/KT004 (ท่าเทียบเรือบริษัทส่งเสริมรุ่งเรืองจำกัด เกาะเต่า ),ROYAL JET 9,Arrival
THPHN/KT004 (ท่าเทียบเรือบริษัทส่งเสริมรุ่งเรืองจำกัด เกาะเต่า ),ROYAL JET 9,Arrival
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),MCL PREMIER,Arrival
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),MC EXPRESS III,Arrival
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),NAMTHONG 88,Arrival
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),YKP MARINE,Arrival
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),MC EXPRESS III,Depature
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),MCL PREMIER,Depature
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),YKP MARINE,Depature
THKAN/KTK02 (ท่าเทียบเรือยุโสบอินเตอร์เนชั่นแนล จำกัด ),NAMTHONG 88,Depature
THLCH/LCBA0 (LAEMCHABANG A 0 ),PANCON BRIDGE,Arrival
THLCH/LCBA0 (LAEMCHABANG A 0 ),BF TIGER,Arrival
THLCH/LCBA0 (LAEMCHABANG A 0 ),BF TIGER,Arrival
THLCH/LCBA0 (LAEMCHABANG A 0 ),PANCON BRIDGE,Arrival
THLCH/LCBA0 (LAEMCHABANG A 0 ),PANCON BRIDGE,Arrival
THLCH/LCBA0 (LAEMCHABANG A 0 ),BF TIGER,Depature
THLCH/LCBA0 (LAEMCHABANG A 0 ),PANCON BRIDGE,Depature
THLCH/LCBA0 (LAEMCHABANG A 0 ),DONGJIN CONFIDENT,Depature
THLCH/LCBA0 (LAEMCHABANG A 0 ),BF TIGER,Depature
THLCH/LCBA1 (LAEMCHABANG A 1 ),STRAITS CHALLENGER,Arrival
THLCH/LCBA1 (LAEMCHABANG A 1 ),STRAITS CHALLENGER,Depature
THLCH/LCBA1 (LAEMCHABANG A 1 ),STRAITS CHALLENGER,Arrival
THLCH/LCBA1 (LAEMCHABANG A 1 ),STRAITS CHALLENGER,Arrival
THLCH/LCBA1 (LAEMCHABANG A 1 ),STRAITS CHALLENGER,Depature
THLCH/LCBA1 (LAEMCHABANG A 1 ),STRAITS CHALLENGER,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),SIEM CURIE,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),SIEM CURIE,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),MARTORELL,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),MARTORELL,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),SIEM CURIE,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),SIEM CURIE,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),MARTORELL,Arrival
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),MARTORELL,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),SIEM CURIE,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),POSITIVE LEADER,Depature
THLCH/LCBA5 (LAEMCHABANG A 5 ),MARTORELL,Depature
THLCH/LCBB1 (LAEMCHABANG B 1 ),PATHARAMARINE 3,Arrival
THLCH/LCBB1 (LAEMCHABANG B 1 ),PATHARAMARINE 10,Arrival
THLCH/LCBB1 (LAEMCHABANG B 1 ),PATHARAMARINE 3,Depature
THLCH/LCBB1 (LAEMCHABANG B 1 ),PATHARAMARINE 10,Depature
THLCH/LCBB2 (LAEMCHABANG B 2 ),EVER ORDER,Arrival
THLCH/LCBB2 (LAEMCHABANG B 2 ),EVER ORDER,Arrival
THLCH/LCBB2 (LAEMCHABANG B 2 ),EVER ORDER,Arrival
THLCH/LCBB2 (LAEMCHABANG B 2 ),EVER ORDER,Depature
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),GREEN HOPE,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),CUL BANGKOK,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),STARSHIP AQUILA,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),WAN HAI 175,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),PATHARA MARINE 7,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),INTERASIA FORWARD,Depature
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),INTERASIA FORWARD,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),CUL BANGKOK,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),WAN HAI 175,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),CUL BANGKOK,Depature
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),WAN HAI 175,Depature
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),PATHARA MARINE 7,Depature
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),PATHARASAHATHAI 2,Arrival
THLCH/LCBB3 (ท่าเทียบเรืออเนกประสงค์ B 3 ),PATHARASAHATHAI 2,Depature
